x_pixel,y_pixel,rssi
465,360,-51.64020318
465,354,-51.63214323
465,354,-51.65357162
465,354,-51.68002752
465,354,-51.61190129
465,353,-51.6196378
466,352,-51.62975237
471,346,-51.64235059
474,343,-51.65759308
475,344,-51.87671807
478,342,-51.90036956
479,340,-51.92719219
484,339,-51.95455425
486,337,-51.98200692
487,337,-52.01901748
488,337,-51.55895545
491,336,-51.55187576
494,334,-51.54282827
503,334,-51.53135179
504,334,-51.49681517
508,333,-51.75645973
508,333,-51.73938648
512,332,-51.7178697
514,333,-51.89145598
517,332,-51.87869983
519,332,-51.91067427
520,330,-51.84655412
521,331,-51.87692671
524,330,-51.9114842
524,330,-51.7529511
527,331,-51.75260024
528,330,-51.75392162
531,330,-51.75752681
532,328,-51.74413389
535,329,-51.8306773
536,329,-51.8226776
537,328,-51.82028995
541,328,-51.81462627
543,328,-51.80494048
545,327,-51.81013941
547,327,-52.01589333
549,327,-52.0420905
551,327,-52.07054687
552,327,-52.20318817
560,324,-52.24043926
561,323,-52.28221542
565,321,-52.52840797
566,320,-52.59978614
568,318,-52.47927071
568,318,-52.54618384
569,317,-52.59921289
570,317,-52.65492513
570,317,-52.61336295
569,317,-52.65438043
569,317,-52.69577455
568,314,-52.83713046
566,311,-52.86800271
565,311,-52.69482437
562,306,-52.71637973
562,305,-52.53339932
559,302,-52.52681797
558,300,-52.51400725
555,293,-52.30407168
553,292,-52.2690408
553,291,-52.22636743
552,289,-52.26529113
552,288,-52.20501997
550,288,-52.45603953
545,282,-52.43000551
543,280,-52.41966613
543,280,-52.30895094
542,280,-52.28844531
542,280,-52.28688267
537,280,-52.18866686
536,279,-52.1848968
532,281,-52.17685737
530,281,-52.47404111
529,282,-52.47584127
528,281,-52.48042485
526,281,-52.68650072
526,281,-52.7242557
526,281,-52.76783674
525,282,-52.61593214
524,282,-52.65865867
521,284,-52.70603486
519,284,-52.75895261
517,285,-53.18744375
516,285,-53.258604
515,287,-53.33642192
515,287,-52.80141404
514,287,-52.80912987
514,288,-52.81325919
512,289,-53.43299189
512,291,-53.01042521
507,296,-53.04086425
507,296,-52.96905541
506,298,-52.94721658
505,299,-52.91607784
504,303,-52.87404343
503,304,-52.88130637
500,307,-52.88852402
499,309,-52.6960505
498,310,-52.62235636
498,311,-52.58354947
496,314,-52.637818
495,315,-52.60469426
493,319,-52.57044202
492,321,-52.73587844
490,322,-52.72206194
490,324,-52.7061375
487,326,-52.68789885
484,328,-52.38708368
483,329,-52.36355642
481,328,-52.34155711
481,329,-52.41193102
480,329,-52.3926547
480,329,-52.37487597
475,331,-52.53877572
475,331,-52.5204471
